# Querschnitt Gie-Tec Seitenteilprofil 4 (Art. 122040), aus cad_122040.dxf, Block PROFIL
# x = Profilhoehe 0..88.30 mm (0 = unten), y = quer zur Gehaeusebreite 0..20.50 mm (0 = Aussenflaeche)
# Schraubkanaele fuer M5 bei (5, 5) und (83.3, 5); Blechnut 1.6 breit, Nutgrund bei y = 10.0
2.000 0.000
0.000 2.000
0.000 7.700
0.300 8.000
0.000 8.300
0.000 12.200
0.800 13.000
1.400 13.000
1.400 10.000
3.000 10.000
3.000 14.100
3.300 14.400
4.200 14.400
4.500 14.100
4.500 13.000
6.500 13.000
6.500 14.400
7.000 14.400
7.000 17.600
6.500 17.600
6.500 19.000
4.500 19.000
4.500 17.900
4.200 17.600
3.300 17.600
3.000 17.900
3.000 20.400
3.100 20.500
7.500 20.500
8.500 19.500
8.500 12.500
7.500 11.500
6.000 11.500
5.000 10.500
5.000 9.243
5.778 8.465
5.778 8.041
4.987 7.250
4.503 7.194
3.727 7.970
2.030 6.273
2.806 5.497
2.750 5.013
1.959 4.222
1.959 3.798
3.798 1.959
4.222 1.959
5.013 2.750
5.497 2.806
6.273 2.030
7.970 3.727
7.194 4.503
7.250 4.987
8.041 5.778
8.465 5.778
9.700 4.543
9.700 2.000
11.500 2.000
11.500 3.200
11.800 3.500
12.300 3.500
12.600 3.200
12.600 2.000
14.400 2.000
14.400 3.200
14.700 3.500
15.200 3.500
15.500 3.200
15.500 2.000
17.300 2.000
17.300 3.200
17.600 3.500
19.479 3.500
19.779 3.800
19.779 8.500
20.279 9.000
24.000 9.000
24.000 4.000
26.800 4.000
26.800 9.000
32.000 9.000
32.000 4.000
34.800 4.000
34.800 9.000
39.000 9.000
39.000 4.000
41.800 4.000
41.800 9.000
43.350 9.000
43.350 6.000
44.950 6.000
44.950 7.700
45.250 8.000
68.021 8.000
68.521 7.500
68.521 3.800
68.821 3.500
70.700 3.500
71.000 3.200
71.000 2.000
72.800 2.000
72.800 3.200
73.100 3.500
73.600 3.500
73.900 3.200
73.900 2.000
75.700 2.000
75.700 3.200
76.000 3.500
76.500 3.500
76.800 3.200
76.800 2.000
78.600 2.000
78.600 4.543
79.694 5.636
80.401 5.636
81.050 4.987
81.106 4.503
80.542 3.939
80.542 3.515
81.815 2.242
82.239 2.242
82.803 2.806
83.287 2.750
84.078 1.959
84.502 1.959
86.341 3.798
86.341 4.222
85.550 5.013
85.494 5.497
86.058 6.061
86.058 6.485
84.785 7.758
84.361 7.758
83.797 7.194
83.313 7.250
82.664 7.899
82.664 8.606
83.300 9.243
83.300 10.500
82.300 11.500
80.800 11.500
79.800 12.500
79.800 19.500
80.800 20.500
85.200 20.500
85.300 20.400
85.300 17.900
85.000 17.600
84.100 17.600
83.800 17.900
83.800 19.000
81.800 19.000
81.800 17.600
81.600 17.600
81.300 17.300
81.300 14.700
81.600 14.400
81.800 14.400
81.800 13.000
83.800 13.000
83.800 14.100
84.100 14.400
85.000 14.400
85.300 14.100
85.300 10.000
86.900 10.000
86.900 13.000
87.300 13.000
87.500 13.000
88.300 12.200
88.300 8.300
88.000 8.000
88.300 7.700
88.300 2.000
86.300 0.000
80.500 0.000
80.300 0.200
80.100 0.000
73.500 0.000
73.300 0.200
73.100 0.000
66.821 0.000
66.521 0.300
66.521 4.700
66.221 5.000
